User,Time,Comment
Iberian,2018-04-27,"['字幕开始滚动后，第一排有人大喊&#34;I', 'want', 'my', 'money', 'back&#34;，最后一排有人迫不及待地开始飞叶子，满厅飘香。Me?', 'I', 'am', 'just', 'very', 'confused.']"
皮革业,2018-05-16,['这个故事告诉我们，掌握世界甚至宇宙的，永远都是那种迎曙光晨勃、看夕阳落泪、爱收干闺女、说到做到的老派男人。']
游来游去,2018-04-27,['复仇者联盟4：轮回天生']
名川,2018-05-11,['所有人都兴冲冲来看复联3，看完又都奔丧一样地走出去。']
路西法尔,2018-05-11,['很久没见过外星怪兽无脑冲锋了，很怀念。其实打灭霸鹰眼和死侍就够了，一个不死之身一个自动回避所有flag，看旺达的表现凤凰女单挑灭霸估计也没压力，吹飞是最无用的技能。漫威两个压箱底的绝招：串门和拆CP，内战就是拆CP，这次更是一口气拆了所有的CP，靠把这些CP正过来漫威就还能再续十年。']
啵酱,2018-05-11,['分好高，可是结局真的令人失望，仓促凌乱，是导演敷衍还是功力下降？']
l ǐ,2018-05-12,['……我永远喜欢托尼·史塔克。']
薛特勒拉底,2018-04-26,['一场从一千四百万零六百零五种可能性里寻求唯一解的游戏。紧凑到完全没有反应时间，可以挂着泪珠哈哈大笑，这时候无比感激那些嘴炮宝宝逗比宝宝抚平内心伤痕。情绪给人酝酿最久的是等彩蛋那一会儿了吧。给国内同胞和这十年一剑最大的尊重是毫不剧透。']
王写写,2018-05-08,['看完后波澜不惊。没多失望也没多满意。快感时不时有点，更多时候只有旁观之感。没指望它能把角色都塑造立体，其他部分也就不过不失。包括灭霸本身，是比过往的反派更生动些，但也止步于此。亲情戏成为唯一的新维度，动机和策略却仍是刻板的直线条。影片前段令人兴奋，越往后越疲软，最终浪费了情感高潮']
囧囧有神晨小咩,2018-05-12,['看完懵了，现在都没缓过来。']
基瑞尔,2018-05-11,"['结束出影院戴上耳机听歌，手机突然放到安安的《Hero》...“I&#39;ll', 'be', 'your', 'hero...”我竟然一个爆哭讲真的。面对喜欢的演员在漫威总是一件玄学的事，一方面希望赶紧抽身，不要浪费艺术生涯看多样化的角色；一方面真来了又会难过...【庆祝自己16天成功断网yoyoyo...！等Brie', 'Larson小姐驾到！']"
方枪枪,2018-05-11,['就像是一锅大杂烩，但完成度颇高，插科打诨和大场面还是之前漫威的老路子，当然这一部确实很悲壮。娱乐性极高的爆米花电影，现场出来，发现看哭了不少姑娘，何必呢？奇异博士前后反差有伏笔，当然还有最后留下来的那些人，其实也有门路在里面。星爵顺风浪一波，神坑队友，绿巨人这部真的是怂。3.7']
陆支羽,2018-05-11,['3.5。1.不灭不霸，是宿命，是羁绊，是即便众叛亲离也要拿到玩具的执念；这种超脱野心的天真，造就了灭霸这个角色的成功。2.漫威绞尽脑汁反套路的努力：本以为会死的没死，不相信会死的死了。3.不管会否逆转未来，至少我愿意勇敢面对，英雄也可能死得轻于鸿毛；造了十年不死传奇，终于残酷一把，挺好。']
UrthónaD&#39;Mors,2018-05-11,"['其实灭霸是环保局的终极左翼分子吧？除了Loki死了真的觉得很可惜之外，我觉得剩下那些消逝的人，存活的人只，战斗力被大大削弱的人还是等第四部见分晓吧，毕竟“爱奇艺”博士说这是only', 'way，但最可怜背锅侠只能送给搅屎棍星爵了～ps始终闹不明白这波死到底是随机还是有一定概率问题']"
LF,2018-05-12,['喜欢灭霸：大块头，结实的肌肉，不花哨的打扮，简朴而精确的出拳，从不躲闪坚持正面刚的战斗风格，坚毅的眼神，远大的梦想，毫不说废话的行动风格，脚踏实地完成目标的人生哲学。']
七颗栗子,2018-05-14,['在知乎和贴吧看了会儿漫威讨论，发现能打灭霸的各路神仙竟有一大堆。什么地球神级，宇宙级，多元宇宙级！超大宇宙级！全能宇宙级！很多角色的能力比我小时候觉得最夸张的七龙珠还要夸张一亿倍。男孩子基本上不讨论爱恨情仇，只讨论谁比谁厉害。漫威大概称得上“男孩子终极豪华套餐”了。']
等一个人,2018-05-14,['我喜欢阿灭']
王食欲,2018-05-11,['浩克真是个实在汉子啊！']
肖恩恩恩恩肖,2018-05-12,['前半场悲剧氛围渲染到位，我就把它当美少女战士的最后一集看了。正当猜测到底哪位才是根正苗红的公主水兵月的时候，下半场不知不觉就结束了……赌五毛钱下一集会逆转未来，大家就当这一部什么都没发生过好了。#响指']
User,Time,Comment
野子,2018-05-15,['莫名觉得灭霸很可爱，看到最后想和他一起看日出。']
路易绕,2018-05-11,['辛辛苦苦搞十年，一夜回到解放前。']
美神经,2018-05-11,['有点小小的难过，从头压制到尾。结局是邪恶战胜了正义，但是看到灭霸在独自一人看落日的时候，突然觉得他得到了一切，却又失去了很多，幸亏他还能看见落日']
京客隆小丸子,2018-05-11,['求出灭霸系列']
帽匠,2018-04-26,['漫威不要脸，到底谁死了，谁没死，谁真死，谁假死，把话说清楚再走！']
Ann,2018-05-01,"['一个马尔萨斯学派的super', 'villain。']"
Evarnold,2018-05-11,['我死硬地说，复联3仍然没有超过黑暗骑士。但。。。也没差多少了。。。刀片概念股将大涨，届时漫威熔个铁王座吧！']
